City_ID,City,Description,Max Temp,Lat,Lng,Hotel Name
0,Moranbah,few clouds,86.95,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
3,Atuona,clear sky,79.48,-9.8,-139.0333,Villa Enata
6,Fare,light rain,81.28,-16.7,-151.0167,Maitai Lapita Village Huahine
9,Coelho Neto,overcast clouds,72.32,-4.2567,-43.0128,Hotel Tejof
13,Makakilo City,clear sky,77.0,21.3469,-158.0858,Marriott's Ko Olina Beach Club
14,New Norfolk,clear sky,87.01,-42.7826,147.0587,The Shingles Riverside Cottages
19,Rikitea,few clouds,79.05,-23.1203,-134.9692,Pension Maro'i
22,San Luis,clear sky,71.92,-33.295,-66.3356,Huarpes Hotel
25,Bambous Virieux,broken clouds,86.0,-20.3428,57.7575,Casa Tia Villa
26,Esperance,broken clouds,71.6,-33.8667,121.9,Hospitality Esperance
28,Carnarvon,broken clouds,80.6,-24.8667,113.6333,Hospitality Carnarvon
30,Airai,overcast clouds,70.56,-8.9266,125.4092,Juvinal Martin
32,Souillac,broken clouds,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
36,Vaini,light rain,86.0,-21.2,-175.2,Keleti Beach Resort
37,Honiara,moderate rain,84.4,-9.4333,159.95,Heritage Park Hotel
40,Namibe,few clouds,71.8,-15.1961,12.1522,Hotel Chik Chik Namibe
45,Butaritari,clear sky,81.91,3.0707,172.7902,Isles Sunset Lodge
47,Hilo,light rain,78.8,19.7297,-155.09,Hilo Hawaiian Hotel
48,Cairns,light rain,81.0,-16.9167,145.7667,Mantra Trilogy Cairns
53,Manzanillo,clear sky,73.42,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
66,Hobart,clear sky,87.01,-42.8794,147.3294,Mantra on Collins Hobart
68,Nueva Loja,overcast clouds,72.64,0.0847,-76.8828,Limoncocha Great Hotel
72,Daryapur,few clouds,73.94,20.9333,77.3333,Adv Aditya Deshmukh
73,Dhrangadhra,clear sky,75.67,22.9833,71.4667,Rutu raj garden
76,Nagar Karnul,broken clouds,73.8,16.4821,78.3247,Sanjeevani Hills
78,Canavieiras,overcast clouds,77.25,-15.675,-38.9472,Bahiadomizil
80,Inhambane,moderate rain,79.21,-23.865,35.3833,Oceano
83,Avarua,overcast clouds,80.6,-21.2078,-159.775,Paradise Inn
92,Buala,moderate rain,84.63,-8.145,159.5921,Maringe Lagoon Lodge
95,Tairua,clear sky,70.0,-37.0167,175.85,Pacific Harbour Villas
98,Napasar,clear sky,73.47,27.9667,73.55,Laxmi Palace
105,Hithadhoo,clear sky,82.49,-0.6,73.0833,Scoop Guest House
109,Rocafuerte,light rain,78.8,-0.9167,-80.4333,"Complejo turístico deportivo ""Mis Brads"""
110,Auki,moderate rain,83.97,-8.7676,160.7034,Auki Motel
113,Arraial Do Cabo,overcast clouds,77.4,-22.9661,-42.0278,Pousada Porto Praia
114,Karratha,clear sky,89.78,-20.7377,116.8463,ibis Styles Karratha
119,Barra Do Garcas,clear sky,71.65,-15.89,-52.2567,Hotel Pousada Tropical
121,Namatanai,light rain,85.14,-3.6667,152.4333,Namatanai Hotel
122,Puerto Ayora,broken clouds,75.99,-0.7393,-90.3518,Finch Bay Galapagos Hotel
125,Morondava,few clouds,80.58,-20.2833,44.2833,La Case Bambou
126,Faanui,light rain,81.28,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
129,Vila Velha,moderate rain,84.0,-20.3297,-40.2925,Quality Suites Vila Velha
134,Manaus,scattered clouds,77.0,-3.1019,-60.025,Manaus Hotéis Millennium
135,Bowen,light rain,82.4,-20.0167,148.2333,Castle Motor Lodge Motel
140,Lorengau,overcast clouds,84.69,-2.0226,147.2712,Lorengau Harbourside Hotel
144,Arecibo,scattered clouds,73.0,18.4724,-66.7157,Atlantic Sand Oasis
145,Bolobo,overcast clouds,74.17,-2.1667,16.2333,
148,Saint-Philippe,clear sky,84.2,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
151,Isangel,broken clouds,89.6,-19.55,169.2667,Volcano Sea View Tree House
155,Salinopolis,overcast clouds,77.32,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
156,Tema,few clouds,80.6,5.667000000000001,-0.0166,Beulah Royale
158,Natal,few clouds,78.8,-5.795,-35.2094,Villa Park Hotel | Natal
164,Pochutla,scattered clouds,73.0,15.7432,-96.4661,Hotel Posada San Jose
165,Sao Filipe,overcast clouds,71.24,14.8961,-24.4956,Tortuga B&B
166,Beloha,overcast clouds,77.13,-25.1667,45.05,
170,Port Lincoln,clear sky,84.54,-34.7333,135.8667,Port Lincoln Hotel
173,Kapaa,light rain,75.2,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
178,Port Blair,mist,84.2,11.6667,92.75,Welcomhotel Bay Island Port Blair
179,Dingle,scattered clouds,80.6,10.9995,122.6711,SEGAYA PROPERTY
187,Cap Malheureux,overcast clouds,86.0,-19.9842,57.6142,Pereybere Hotel & Spa
193,San Miguel,scattered clouds,73.56,13.4833,-88.1833,Hotel Tropico Inn San Miguel
195,Morayfield,broken clouds,77.0,-27.1167,152.95,Caboolture Riverlakes Motel
196,Salalah,few clouds,71.6,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
197,Kavieng,light rain,84.88,-2.5744,150.7967,Nusa Island Retreat
207,Chocope,clear sky,73.29,-7.7914,-79.2217,FAMILIA CARRÉ ZUÑIGA
210,Formosa,clear sky,71.6,-26.1775,-58.1781,Hotel Portal del Sol
212,Georgetown,few clouds,87.8,5.4112,100.3354,Cititel Penang
213,Trenggalek,overcast clouds,88.18,-8.05,111.7167,OYO 2966 Hotel Atriaz
215,Bengkulu,light rain,86.07,-3.8004,102.2655,Grage Hotel Bengkulu
223,Alofi,broken clouds,86.0,-19.0595,-169.9187,Taloa Heights
225,Saint-Joseph,clear sky,84.2,-21.3667,55.6167,"""Plantation Bed and Breakfast"
229,Grand-Lahou,light rain,77.63,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
230,Tiarei,light rain,86.0,-17.5333,-149.3333,Le Rocher de Tahiti
233,Trincomalee,broken clouds,80.38,8.5711,81.2335,Welcombe Hotel
235,Yenagoa,few clouds,76.15,4.9247,6.2642,Aridolf Resort Wellness and Spa
239,Aripuana,moderate rain,70.83,-9.1667,-60.6333,
240,Hervey Bay,few clouds,82.99,-25.2986,152.8535,Shelly Bay Resort
243,Mandera,overcast clouds,72.97,3.9366,41.867,Kornesh Hotel and Lodging
248,Kendari,broken clouds,88.34,-3.945,122.4989,Hotel Wixel
256,Nosy Varika,overcast clouds,79.09,-20.5833,48.5333,Hotel Volazara
257,Harper,light rain,75.43,4.375,-7.7169,Screensaver
258,Kieta,light rain,85.69,-6.2167,155.6333,
265,Eyl,overcast clouds,73.36,7.9803,49.8164,Amiin Hotel
266,Caravelas,light rain,79.23,-17.7125,-39.2481,Pousada dos Navegantes
273,Mulki,broken clouds,78.8,13.1,74.8,KayakBoy Camping Ground
275,Sur,clear sky,76.64,22.5667,59.5289,Sur Plaza Hotel
278,Kabalo,overcast clouds,70.83,-6.05,26.9167,
280,Geraldton,broken clouds,75.2,-28.7667,114.6,Broadwater Mariner Resort
281,Mayumba,light rain,75.74,-3.432,10.6554,LIKWALE LODGE
285,Ouesso,broken clouds,71.01,1.6136,16.0517,Hôtel ABENI
287,Hobyo,overcast clouds,77.99,5.3505,48.5268,Halane Hotel and Restaurent
