City_ID,City,Description,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Moranbah,few clouds,2021-02-18 04:08:15,-22.0016,148.0466,86.95,43,19,16.04
1,Gornopravdinsk,clear sky,2021-02-18 04:08:15,60.05,69.9,-21.89,87,0,1.5
2,San Ramon,clear sky,2021-02-18 04:07:47,37.7799,-121.978,53.6,26,1,1.79
3,Atuona,clear sky,2021-02-18 04:01:06,-9.8,-139.0333,79.48,77,1,15.59
4,Punta Arenas,overcast clouds,2021-02-18 04:01:06,-53.15,-70.9167,48.2,81,90,13.8
5,Jamestown,clear sky,2021-02-18 03:59:10,42.097,-79.2353,18.0,85,1,5.75
6,Fare,light rain,2021-02-18 03:59:54,-16.7,-151.0167,81.28,75,14,12.28
7,Chokurdakh,overcast clouds,2021-02-18 04:01:05,70.6333,147.9167,-17.48,86,99,6.42
8,Port Alfred,clear sky,2021-02-18 03:59:24,-33.5906,26.891,69.01,89,0,7.0
9,Coelho Neto,overcast clouds,2021-02-18 04:08:16,-4.2567,-43.0128,72.32,98,100,2.42
10,Mar Del Plata,overcast clouds,2021-02-18 03:59:20,-38.0023,-57.5575,66.99,88,90,3.44
11,Lompoc,clear sky,2021-02-18 03:57:27,34.6391,-120.4579,51.8,71,1,9.64
12,Hattiesburg,heavy intensity rain,2021-02-18 04:05:26,31.3271,-89.2903,37.4,93,90,9.22
13,Makakilo City,clear sky,2021-02-18 04:08:16,21.3469,-158.0858,77.0,64,1,6.91
14,New Norfolk,clear sky,2021-02-18 04:08:16,-42.7826,147.0587,87.01,27,0,3.0
15,Mataura,clear sky,2021-02-18 04:08:16,-46.1927,168.8643,61.0,74,7,13.0
16,Mahon,overcast clouds,2021-02-18 04:08:16,39.8885,4.2658,53.6,87,90,5.75
17,Albany,overcast clouds,2021-02-18 04:08:16,42.6001,-73.9662,19.4,58,90,3.51
18,Busselton,clear sky,2021-02-18 04:08:16,-33.65,115.3333,68.0,51,4,8.99
19,Rikitea,few clouds,2021-02-18 04:08:17,-23.1203,-134.9692,79.05,66,17,8.7
20,Petropavlovsk-Kamchatskiy,few clouds,2021-02-18 04:08:17,53.0452,158.6483,32.0,59,20,4.47
21,Bredasdorp,broken clouds,2021-02-18 04:08:17,-34.5322,20.0403,60.8,72,56,5.75
